invoice_id,vendor_id,invoice_number,invoice_date,invoice_total,payment_total,credit_total,terms_id,invoice_due_date,payment_date
2,123,263253241,2018-04-10,40.20,40.20,0.00,3,2018-05-10,2018-05-14
3,123,963253234,2018-04-13,138.75,138.75,0.00,3,2018-05-13,2018-05-09
4,123,2-000-2993,2018-04-16,144.70,144.70,0.00,3,2018-05-16,2018-05-12
5,123,963253251,2018-04-16,15.50,15.50,0.00,3,2018-05-16,2018-05-11
6,123,963253261,2018-04-16,42.75,42.75,0.00,3,2018-05-16,2018-05-21
7,123,963253237,2018-04-21,172.50,172.50,0.00,3,2018-05-21,2018-05-22
10,123,263253250,2018-04-24,42.67,42.67,0.00,3,2018-05-24,2018-05-22
11,123,963253262,2018-04-25,42.50,42.50,0.00,3,2018-05-25,2018-05-20
17,123,4-321-2596,2018-05-05,10.00,10.00,0.00,3,2018-06-04,2018-06-05
18,123,963253242,2018-05-06,104.00,104.00,0.00,3,2018-06-05,2018-06-05
22,123,963253235,2018-05-11,108.25,108.25,0.00,3,2018-06-10,2018-06-09
25,123,963253246,2018-05-13,129.00,129.00,0.00,3,2018-06-12,2018-06-09
26,123,4-342-8069,2018-05-14,10.00,10.00,0.00,3,2018-06-13,2018-06-13
28,123,963253263,2018-05-16,109.50,109.50,0.00,3,2018-06-15,2018-06-10
30,123,1-200-5164,2018-05-20,63.40,63.40,0.00,3,2018-06-19,2018-06-24
34,123,963253232,2018-05-23,127.75,127.75,0.00,3,2018-06-22,2018-06-18
37,123,963253260,2018-05-25,36.00,36.00,0.00,3,2018-06-24,2018-06-26
38,123,963253272,2018-05-26,61.50,61.50,0.00,3,2018-06-25,2018-06-30
41,123,963253255,2018-05-31,53.75,53.75,0.00,3,2018-06-30,2018-06-27
42,123,94007069,2018-05-31,400.00,400.00,0.00,3,2018-06-30,2018-07-01
48,123,1-202-2978,2018-06-03,33.00,33.00,0.00,3,2018-07-03,2018-07-05
55,123,963253245,2018-06-10,40.75,40.75,0.00,3,2018-07-10,2018-07-12
58,123,963253256,2018-06-11,53.25,53.25,0.00,3,2018-07-11,2018-07-07
59,123,4-314-3057,2018-06-11,13.75,13.75,0.00,3,2018-07-11,2018-07-15
62,123,963253269,2018-06-15,26.75,26.75,0.00,3,2018-07-15,2018-07-11
64,123,963253267,2018-06-17,23.50,23.50,0.00,3,2018-07-17,2018-07-19
66,123,263253253,2018-06-18,31.95,31.95,0.00,3,2018-07-18,2018-07-21
71,123,963253254,2018-06-22,108.50,108.50,0.00,3,2018-07-22,2018-07-20
72,123,43966316,2018-06-22,10.00,10.00,0.00,3,2018-07-22,2018-07-17
75,123,7548906-20,2018-06-24,27.00,27.00,0.00,3,2018-07-24,2018-07-24
76,123,963253248,2018-06-24,241.00,241.00,0.00,3,2018-07-24,2018-07-25
81,123,263253265,2018-07-02,26.25,26.25,0.00,3,2018-08-01,2018-07-28
84,123,963253258,2018-07-06,111.00,111.00,0.00,3,2018-08-05,2018-08-05
85,123,963253271,2018-07-07,158.00,158.00,0.00,3,2018-08-06,2018-08-11
86,123,963253230,2018-07-07,739.20,739.20,0.00,3,2018-08-06,2018-08-06
87,123,963253244,2018-07-08,60.00,60.00,0.00,3,2018-08-07,2018-08-09
88,123,963253239,2018-07-08,147.25,147.25,0.00,3,2018-08-07,2018-08-11
90,123,963253252,2018-07-12,38.75,38.75,0.00,3,2018-08-11,2018-08-11
93,123,4-327-7357,2018-07-16,162.75,162.75,0.00,3,2018-08-15,2018-08-11
94,123,963253264,2018-07-18,52.25,0.00,0.00,3,2018-08-17,NULL
99,123,263253268,2018-07-21,59.97,0.00,0.00,3,2018-08-20,NULL
100,123,263253270,2018-07-22,67.92,0.00,0.00,3,2018-08-21,NULL
101,123,263253273,2018-07-22,30.75,0.00,0.00,3,2018-08-21,NULL
104,123,263253243,2018-07-23,44.44,44.44,0.00,3,2018-08-22,2018-08-24
108,123,963253240,2018-07-24,67.00,67.00,0.00,3,2018-08-23,2018-08-23
111,123,263253257,2018-07-30,22.57,22.57,0.00,3,2018-08-29,2018-09-03
114,123,963253249,2018-08-02,127.75,127.75,0.00,3,2018-09-01,2018-09-04
